Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCF_015350365.1	ASM1535036v1	Vibrio anguillarum		060712-1/1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5157164	Scaffold	2020-11-10	RDOR01	4799
GCF_015350415.1	ASM1535041v1	Vibrio anguillarum		4070 E					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5113922	Scaffold	2020-11-10	RDQB01	4671
GCF_015350445.1	ASM1535044v1	Vibrio anguillarum		150811-1/228H					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5431212	Scaffold	2020-11-10	RDQC01	4947
GCF_015350515.1	ASM1535051v1	Vibrio anguillarum		090707-1/2A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4977451	Scaffold	2020-11-10	RDQD01	4456
GCF_015350555.1	ASM1535055v1	Vibrio anguillarum		ATCC 43306 (1173/1)					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007820	Scaffold	2020-11-10	SCLB01	4519
GCF_015351355.1	ASM1535135v1	Vibrio vulnificus		Vv3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5202355	Contig	2020-11-10	JADIXU01	4496
GCF_015351365.1	ASM1535136v1	Vibrio vulnificus		TI417					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5370751	Contig	2020-11-10	JADIXV01	4690
GCF_015351545.2	ASM1535154v2	Vibrio vulnificus		Vv5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5305952	Contig	2021-01-30	JADIXT02	4733
GCF_015482825.1	ASM1548282v1	Vibrio cholerae C6706		C6706					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4085397	Complete Genome	2020-11-16		3588
GCF_015594925.2	ASM1559492v2	Vibrio sp. VB16		VB16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5210103	Complete Genome	2021-12-07		4511
GCF_015654285.1	ASM1565428v1	Vibrio europaeus		07/118 T2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5558698	Complete Genome	2020-11-23		4944
GCF_015680975.1	ASM1568097v1	Vibrio parahaemolyticus		SH112					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5087915	Contig	2020-11-24	JACYGZ01	4397
GCF_015686695.1	ASM1568669v1	Vibrio nitrifigilis		NFV-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5484941	Contig	2020-11-24	JADPMR01	4559
GCF_015686715.1	ASM1568671v1	Vibrio cholerae		HfVC3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4086039	Scaffold	2020-11-24	JADPRD01	3500
GCF_015686735.1	ASM1568673v1	Vibrio cholerae		HfVC5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4085113	Scaffold	2020-11-24	JADPRF01	3505
GCF_015686745.1	ASM1568674v1	Vibrio cholerae		HfVC7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4086017	Scaffold	2020-11-24	JADPRH01	3505
GCF_015686775.1	ASM1568677v1	Vibrio cholerae		HfVC4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4088280	Scaffold	2020-11-24	JADPRE01	3502
GCF_015686785.1	ASM1568678v1	Vibrio cholerae		HfVC6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4084870	Contig	2020-11-24	JADPRG01	3505
GCF_015686815.1	ASM1568681v1	Vibrio cholerae		HfVC1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4087110	Scaffold	2020-11-24	JADPRB01	3504
GCF_015686835.1	ASM1568683v1	Vibrio cholerae		HfVC2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4086998	Scaffold	2020-11-24	JADPRC01	3505
GCF_015709045.1	ASM1570904v1	Vibrio cidicii		VN-3139					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4654478	Contig	2020-12-01	MPKQ01	4081
GCF_015709065.1	ASM1570906v1	Vibrio cidicii		VN-3125					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4765427	Contig	2020-12-01	MPKP01	4204
GCF_015779285.1	ASM1577928v1	Vibrio parahaemolyticus		20-082A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5601613	Complete Genome	2020-12-07		5059
GCF_015830005.1	ASM1583000v1	Vibrio cholerae		234_08					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3971767	Contig	2020-12-07	WBLV01	3254
GCF_015830025.1	ASM1583002v1	Vibrio cholerae		234_03					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3915034	Contig	2020-12-07	WBLW01	3231
GCF_015830035.1	ASM1583003v1	Vibrio cholerae		237_01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3973024	Contig	2020-12-07	WBLX01	3305
GCF_016094295.1	ASM1609429v1	Vibrio vulnificus		WAPHLVBRA00022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5044386	Contig	2020-12-16	NVYC01	4315
GCF_016094345.1	ASM1609434v1	Vibrio navarrensis		WAPHLVBRA00023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5026261	Contig	2020-12-16	NVYB01	4408
GCF_016094365.1	ASM1609436v1	Vibrio vulnificus		WAPHLVBRA00021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037352	Contig	2020-12-16	NVYD01	4299
GCF_016094395.1	ASM1609439v1	Vibrio vulnificus		WAPHLVBRA00020					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5045824	Contig	2020-12-16	NVYE01	4354
GCF_016094415.1	ASM1609441v1	Vibrio vulnificus		WAPHLVBRA00019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5042917	Contig	2020-12-16	NVYF01	4309
GCF_016094425.1	ASM1609442v1	Vibrio vulnificus		WAPHLVBRA00017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5041357	Contig	2020-12-16	NVYH01	4311
GCF_016094435.1	ASM1609443v1	Vibrio vulnificus		WAPHLVBRA00018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5042696	Contig	2020-12-16	NVYG01	4311
GCF_016094475.1	ASM1609447v1	Vibrio vulnificus		WAPHLVBRA00016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5041323	Contig	2020-12-16	NVYI01	4311
GCF_016094495.1	ASM1609449v1	Vibrio vulnificus		WAPHLVBRA00014					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5041918	Contig	2020-12-16	NVYK01	4308
GCF_016094505.1	ASM1609450v1	Vibrio vulnificus		WAPHLVBRA00012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037731	Contig	2020-12-16	NVYM01	4299
GCF_016094525.1	ASM1609452v1	Vibrio vulnificus		WAPHLVBRA00013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5035588	Contig	2020-12-16	NVYL01	4298
GCF_016094535.1	ASM1609453v1	Vibrio vulnificus		WAPHLVBRA00015					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5038886	Contig	2020-12-16	NVYJ01	4306
GCF_016094575.1	ASM1609457v1	Vibrio vulnificus		PNUSAV000069					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5039974	Contig	2020-12-16	NVYN01	4306
GCF_016103055.1	ASM1610305v1	Vibrio cholerae		676					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4102753	Contig	2020-12-16	JAEEFY01	3504
GCF_016103065.1	ASM1610306v1	Vibrio cholerae		S-618					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4117844	Contig	2020-12-16	JAEEFZ01	3478
GCF_016132465.1	ASM1613246v1	Vibrio parahaemolyticus		SHP/2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5249063	Chromosome	2020-12-21		4699
GCF_016132485.1	ASM1613248v1	Vibrio parahaemolyticus		NUK/7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5421490	Chromosome	2020-12-21		4899
GCF_016403045.1	ASM1640304v1	Vibrio parahaemolyticus		81TDH2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4879979	Chromosome	2020-12-26		4319
GCF_016406055.1	ASM1640605v1	Vibrio sp. IB15		IB15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5060694	Scaffold	2020-12-26	JAEFCE01	4386
GCF_016456575.1	ASM1645657v1	Vibrio cholerae		Vc3018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4028630	Contig	2021-01-02	JAEMFX01	3504
GCF_016456615.1	ASM1645661v1	Vibrio cholerae		Vc3017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4057816	Contig	2021-01-02	JAEMFW01	3557
GCF_016456645.1	ASM1645664v1	Vibrio cholerae		Vc306					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3998884	Contig	2021-01-02	JAEMEZ01	3569
GCF_016456655.1	ASM1645665v1	Vibrio cholerae		Vc3019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4045779	Contig	2021-01-02	JAEMFY01	3507
GCF_016456685.1	ASM1645668v1	Vibrio cholerae		Vc3023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4063632	Contig	2021-01-02	JAEMGB01	3508
GCF_016456695.1	ASM1645669v1	Vibrio cholerae		Vc3022					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4090023	Contig	2021-01-02	JAEMGA01	3551
GCF_016456725.1	ASM1645672v1	Vibrio cholerae		Vc382					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4063563	Contig	2021-01-02	JAEMFA01	3502
GCF_016456735.1	ASM1645673v1	Vibrio cholerae		Vc3024					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4043645	Contig	2021-01-02	JAEMGC01	3460
GCF_016456755.1	ASM1645675v1	Vibrio cholerae		Vc3021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4088277	Contig	2021-01-02	JAEMFZ01	3544
GCF_016456785.1	ASM1645678v1	Vibrio cholerae		Vc226					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4382521	Contig	2021-01-02	JAEMEY01	4005
GCF_016456805.1	ASM1645680v1	Vibrio cholerae		Vc2634					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4230315	Contig	2021-01-02	JAEMFS01	3760
GCF_016456815.1	ASM1645681v1	Vibrio cholerae		Vc2632					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4299642	Contig	2021-01-02	JAEMFQ01	3867
GCF_016456845.1	ASM1645684v1	Vibrio cholerae		Vc2633					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3990580	Contig	2021-01-02	JAEMFR01	3547
GCF_016456875.1	ASM1645687v1	Vibrio cholerae		Vc2573					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4278809	Contig	2021-01-02	JAEMFP01	3842
GCF_016456905.1	ASM1645690v1	Vibrio cholerae		Vc732					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3985885	Contig	2021-01-02	JAEMFM01	3477
GCF_016456915.1	ASM1645691v1	Vibrio cholerae		Vc1461					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4069757	Contig	2021-01-02	JAEMFN01	3602
GCF_016456925.1	ASM1645692v1	Vibrio cholerae		Vc731					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4045738	Contig	2021-01-02	JAEMFL01	3579
GCF_016456945.1	ASM1645694v1	Vibrio cholerae		Vc601					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4073327	Contig	2021-01-02	JAEMFJ01	3610
GCF_016456985.1	ASM1645698v1	Vibrio cholerae		Vc730					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4076047	Contig	2021-01-02	JAEMFK01	3591
GCF_016456995.1	ASM1645699v1	Vibrio cholerae		Vc401					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3981812	Contig	2021-01-02	JAEMFD01	3512
GCF_016457005.1	ASM1645700v1	Vibrio cholerae		Vc517					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4449521	Contig	2021-01-02	JAEMFH01	3961
GCF_016457045.1	ASM1645704v1	Vibrio cholerae		Vc518					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4186044	Contig	2021-01-02	JAEMFI01	3702
GCF_016457055.1	ASM1645705v1	Vibrio cholerae		Vc515					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4210855	Contig	2021-01-02	JAEMFF01	3764
GCF_016457065.1	ASM1645706v1	Vibrio cholerae		Vc516					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4198026	Contig	2021-01-02	JAEMFG01	3713
GCF_016457095.1	ASM1645709v1	Vibrio cholerae		Vc514					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4102918	Contig	2021-01-02	JAEMFE01	3598
GCF_016457125.1	ASM1645712v1	Vibrio cholerae		Vc384					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4161067	Contig	2021-01-02	JAEMFC01	3692
GCF_016457135.1	ASM1645713v1	Vibrio cholerae		Vc383					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4114801	Contig	2021-01-02	JAEMFB01	3563
GCF_016457155.1	ASM1645715v1	Vibrio cholerae		Vc3012					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3934094	Contig	2021-01-02	JAEMFU01	3455
GCF_016457185.1	ASM1645718v1	Vibrio cholerae		Vc2932					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4135061	Contig	2021-01-02	JAEMFT01	3646
GCF_016457205.1	ASM1645720v1	Vibrio cholerae		Vc3013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3945298	Contig	2021-01-02	JAEMFV01	3465
GCF_016464085.1	ASM1646408v1	Vibrio harveyi		bablab_jr013					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5907473	Contig	2021-01-03	JACDWS01	5241
GCF_016464115.1	ASM1646411v1	Vibrio owensii		bablab_jr009					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6197739	Contig	2021-01-03	JACDXA01	5436
GCF_016464165.1	ASM1646416v1	Vibrio harveyi		bablab_jr006					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5712489	Contig	2021-01-03	JACDWX01	5040
GCF_016464175.1	ASM1646417v1	Vibrio owensii		bablab_jr007					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5854558	Contig	2021-01-03	JACDXB01	5043
GCF_016464195.1	ASM1646419v1	Vibrio owensii		bablab_jr005					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5859704	Contig	2021-01-03	JACDXC01	5084
GCF_016464265.1	ASM1646426v1	Vibrio owensii		bablab_jr002					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	6269929	Contig	2021-01-03	JACDXD01	5505
GCF_016464285.1	ASM1646428v1	Vibrio sp. bablab_jr001		bablab_jr001					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4769461	Contig	2021-01-03	JACDWZ01	4326
GCF_016761485.1	ASM1676148v1	Vibrio fluvialis		GCCln93					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4799125	Scaffold	2021-01-27	JACNFF01	4303
GCF_016761515.1	ASM1676151v1	Vibrio fluvialis		GCCln63					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5097843	Scaffold	2021-01-27	JACNFE01	4611
GCF_016761535.1	ASM1676153v1	Vibrio fluvialis		GCCln56					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4765993	Scaffold	2021-01-27	JACNFC01	4272
GCF_016761545.1	ASM1676154v1	Vibrio fluvialis		GCCln62					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5091433	Scaffold	2021-01-27	JACNFD01	4606
GCF_016761575.1	ASM1676157v1	Vibrio fluvialis		GCCln32					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4783940	Scaffold	2021-01-27	JACNFA01	4311
GCF_016761595.1	ASM1676159v1	Vibrio fluvialis		GCCln43					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4844976	Scaffold	2021-01-27	JACNFB01	4353
GCF_016761615.1	ASM1676161v1	Vibrio fluvialis		GCCln31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4765864	Scaffold	2021-01-27	JACNEZ01	4273
GCF_016761635.1	ASM1676163v1	Vibrio fluvialis		GCCln29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4849022	Scaffold	2021-01-27	JACNEX01	4352
GCF_016761655.1	ASM1676165v1	Vibrio fluvialis		GCCln30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4804773	Scaffold	2021-01-27	JACNEY01	4311
GCF_016761675.1	ASM1676167v1	Vibrio fluvialis		GCEnv5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4826250	Scaffold	2021-01-27	JACNEV01	4330
GCF_016761685.1	ASM1676168v1	Vibrio fluvialis		GCEnv6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4897314	Scaffold	2021-01-27	JACNEW01	4429
GCF_016761715.1	ASM1676171v1	Vibrio fluvialis		GCEnv4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4840303	Scaffold	2021-01-27	JACNEU01	4348
GCF_016761735.1	ASM1676173v1	Vibrio fluvialis		GCEnv3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4623588	Scaffold	2021-01-27	JACNET01	4169
GCF_016761775.1	ASM1676177v1	Vibrio fluvialis		GCEnv2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4780527	Scaffold	2021-01-27	JACNES01	4294
GCF_016761815.1	ASM1676181v1	Vibrio fluvialis		GCEnv1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4723832	Scaffold	2021-01-27	JACNER01	4244
GCF_016812015.1	ASM1681201v1	Vibrio diabolicus		SLV18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5302819	Complete Genome	2021-02-07		4577
GCF_016822055.1	ASM1682205v1	Vibrio fluvialis		VP376					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4527453	Contig	2021-02-07	JADQII01	4066
GCF_016823165.1	ASM1682316v1	Vibrio alginolyticus		VP318					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5066977	Contig	2021-02-07	JADQKL01	4422
GCF_016825335.1	ASM1682533v1	Vibrio diabolicus		VP189					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5012520	Contig	2021-02-07	JADQOQ01	4406
GCF_016834555.1	ASM1683455v1	Vibrio parahaemolyticus		HP1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5079924	Chromosome	2021-02-08		4559
GCF_016876145.1	ASM1687614v1	Vibrio parahaemolyticus		VA-0693-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5083657	Contig	2021-02-11	JACBQU01	4659
GCF_016876175.1	ASM1687617v1	Vibrio parahaemolyticus		VA-0662-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5456320	Scaffold	2021-02-11	JACBQV01	4815
GCF_016876195.1	ASM1687619v1	Vibrio parahaemolyticus		VA-0569-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4945250	Contig	2021-02-11	JACBQW01	4433
GCF_016876215.1	ASM1687621v1	Vibrio parahaemolyticus		VA-0007-17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5014676	Contig	2021-02-11	JACBQX01	4509
GCF_016876235.1	ASM1687623v1	Vibrio parahaemolyticus		INST028217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4946751	Contig	2021-02-11	JACBQY01	4442
GCF_016876255.1	ASM1687625v1	Vibrio parahaemolyticus		INST027417					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4989792	Contig	2021-02-11	JACBQZ01	4509
GCF_016876275.1	ASM1687627v1	Vibrio parahaemolyticus		INST0253					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5009339	Contig	2021-02-11	JACBRA01	4484
GCF_016876285.1	ASM1687628v1	Vibrio parahaemolyticus		INST0241					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4940728	Contig	2021-02-11	JACBRB01	4458
GCF_016876315.1	ASM1687631v1	Vibrio parahaemolyticus		INST0233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4992289	Contig	2021-02-11	JACBRC01	4468
GCF_016876335.1	ASM1687633v1	Vibrio parahaemolyticus		INST0232					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4989586	Contig	2021-02-11	JACBRD01	4487
GCF_016876355.1	ASM1687635v1	Vibrio parahaemolyticus		INST0228					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4986910	Contig	2021-02-11	JACBRF01	4472
GCF_016876375.1	ASM1687637v1	Vibrio parahaemolyticus		INST0225					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5053292	Contig	2021-02-11	JACBRG01	4557
GCF_016876395.1	ASM1687639v1	Vibrio parahaemolyticus		INST0231					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5060051	Contig	2021-02-11	JACBRE01	4532
GCF_016876415.1	ASM1687641v1	Vibrio parahaemolyticus		INST0212					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5032845	Contig	2021-02-11	JACBRI01	4508
GCF_016876435.1	ASM1687643v1	Vibrio parahaemolyticus		INST0211					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5182657	Contig	2021-02-11	JACBRJ01	4595
GCF_016876455.1	ASM1687645v1	Vibrio parahaemolyticus		INST022317					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4935375	Contig	2021-02-11	JACBRH01	4373
GCF_016876475.1	ASM1687647v1	Vibrio parahaemolyticus		INST0205					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5134026	Contig	2021-02-11	JACBRK01	4655
GCF_016876495.1	ASM1687649v1	Vibrio parahaemolyticus		INST0192					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5033138	Contig	2021-02-11	JACBRL01	4498
GCF_016876515.1	ASM1687651v1	Vibrio parahaemolyticus		INST0181					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5009172	Contig	2021-02-11	JACBRN01	4501
GCF_016876535.1	ASM1687653v1	Vibrio parahaemolyticus		INSP033117					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5020648	Contig	2021-02-11	JACBRO01	4518
GCF_016876545.1	ASM1687654v1	Vibrio parahaemolyticus		INST0184					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5009003	Contig	2021-02-11	JACBRM01	4472
GCF_016876575.1	ASM1687657v1	Vibrio parahaemolyticus		INSP032217					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5053317	Contig	2021-02-11	JACBRP01	4577
GCF_016876595.1	ASM1687659v1	Vibrio parahaemolyticus		INSP0066					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4935504	Contig	2021-02-11	JACBRQ01	4454
GCF_016876615.1	ASM1687661v1	Vibrio parahaemolyticus		INSP0062					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5125023	Contig	2021-02-11	JACBRR01	4629
GCF_016876635.1	ASM1687663v1	Vibrio parahaemolyticus		INSP0047					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5004589	Contig	2021-02-11	JACBRS01	4435
GCF_016876645.1	ASM1687664v1	Vibrio parahaemolyticus		INSP0041017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5128733	Contig	2021-02-11	JACDZK01	4619
GCF_016876675.1	ASM1687667v1	Vibrio parahaemolyticus		INSP0035					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5123587	Contig	2021-02-11	JACBRT01	4575
GCF_016876695.1	ASM1687669v1	Vibrio parahaemolyticus		INSP0034					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5007401	Contig	2021-02-11	JACBRU01	4501
GCF_016876715.1	ASM1687671v1	Vibrio parahaemolyticus		INSCH0155					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5037611	Contig	2021-02-11	JACBRX01	4556
GCF_016876735.1	ASM1687673v1	Vibrio parahaemolyticus		INSCH0156					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5098221	Contig	2021-02-11	JACBRW01	4550
GCF_016876745.1	ASM1687674v1	Vibrio parahaemolyticus		INSP0022317					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4946633	Contig	2021-02-11	JACBRV01	4354
GCF_016876775.1	ASM1687677v1	Vibrio parahaemolyticus		INSCH0154					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5022168	Contig	2021-02-11	JACBRY01	4488
GCF_016876795.1	ASM1687679v1	Vibrio parahaemolyticus		INSCH0153					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5027415	Contig	2021-02-11	JACBRZ01	4509
GCF_016876815.1	ASM1687681v1	Vibrio parahaemolyticus		INSCH0074					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5054363	Contig	2021-02-11	JACBSC01	4646
GCF_016876835.1	ASM1687683v1	Vibrio parahaemolyticus		INSCH0143					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5010963	Contig	2021-02-11	JACBSA01	4509
GCF_016876855.1	ASM1687685v1	Vibrio parahaemolyticus		INSCH0073					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5054445	Contig	2021-02-11	JACBSD01	4630
GCF_016876875.1	ASM1687687v1	Vibrio parahaemolyticus		INSCH013717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4992877	Contig	2021-02-11	JACBSB01	4461
GCF_016876885.1	ASM1687688v1	Vibrio parahaemolyticus		INSCH0111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5092779	Contig	2021-02-11	JACBSE01	4566
GCF_016876915.1	ASM1687691v1	Vibrio parahaemolyticus		INSP0051					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5016570	Contig	2021-02-11	JACBSF01	4566
GCF_016876935.1	ASM1687693v1	Vibrio parahaemolyticus		INST0262					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4995376	Contig	2021-02-11	JACBSI01	4525
GCF_016876945.1	ASM1687694v1	Vibrio parahaemolyticus		INSP032117					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5058510	Contig	2021-02-11	JACBSH01	4562
GCF_016876975.1	ASM1687697v1	Vibrio parahaemolyticus		INS3_41617					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5057250	Contig	2021-02-11	JACBSJ01	4486
GCF_016876985.1	ASM1687698v1	Vibrio parahaemolyticus		INSP032717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5108839	Contig	2021-02-11	JACBSG01	4584
GCF_016877015.1	ASM1687701v1	Vibrio parahaemolyticus		INS3_42617					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4959581	Contig	2021-02-11	JACBSK01	4434
GCF_016877035.1	ASM1687703v1	Vibrio parahaemolyticus		INSCH0151					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4957815	Contig	2021-02-11	JACBSM01	4389
GCF_016877055.1	ASM1687705v1	Vibrio parahaemolyticus		INST00896					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4990703	Contig	2021-02-11	JACBSO01	4493
GCF_016877075.1	ASM1687707v1	Vibrio parahaemolyticus		INST022117					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4942176	Contig	2021-02-11	JACBSL01	4432
